RefNum,age,job,marital,education,housing,loan,contact,day,month,duration,deposit,balance
10026292,57,management,married,tertiary,yes,no,,16,july,124,0,0
10026293,45,admin.,married,secondary,yes,no,,12,august,452,76341.6,93600
10026294,47,management,married,primary,yes,no,,23,september,114,194689.8,747180
10026295,40,unemployed,married,secondary,yes,no,,4,october,125,48819.6,608760
10026296,33,technician,single,secondary,yes,no,,24,november,622,28591.2,46980
10026297,49,entrepreneur,married,secondary,yes,no,,1,december,153,40239,208800
10026298,39,management,divorced,tertiary,yes,yes,,27,january,1328,64236.6,93060
10026299,50,services,married,secondary,yes,no,,23,february,686,102913.2,532080
10026300,60,retired,divorced,primary,yes,yes,,16,march,80,173658.6,238860
10026301,53,technician,married,secondary,yes,no,,25,april,435,0,1515060
10026302,58,retired,married,secondary,yes,no,,13,may,300,0,-30960
10026303,52,services,married,secondary,yes,no,,13,june,203,41085,406260
10026304,42,admin.,single,secondary,yes,no,,1,july,121,25974,49860
10026305,42,blue-collar,married,secondary,yes,no,,2,august,71,22723.2,162360
10026306,43,technician,married,secondary,yes,no,,6,september,78,17136,38160
10026307,51,admin.,married,secondary,yes,no,,15,october,534,56097,92340
10026308,53,,divorced,tertiary,yes,no,,24,november,243,66412.8,408960
10026309,53,technician,married,secondary,yes,no,,25,december,230,1393.2,129420
10026310,42,management,married,tertiary,no,no,,6,january,253,1164.6,180
10026311,40,technician,married,secondary,yes,no,,4,february,127,45450,90540
10026312,59,retired,married,secondary,yes,yes,,8,march,1125,101647.8,273780
10026313,59,retired,married,secondary,yes,yes,,2,april,282,56385,452880
10026314,48,housemaid,married,tertiary,yes,no,,4,may,220,20388.6,84240
10026315,25,,single,,yes,no,,30,june,158,15168.6,59220
10026316,59,blue-collar,married,primary,yes,yes,,6,july,267,23189.4,46620
10026317,49,unemployed,married,secondary,yes,no,,17,august,257,0,138420
10026318,42,management,married,tertiary,yes,no,,19,september,110,0,-126000
10026319,37,blue-collar,married,secondary,yes,no,,29,october,456,578007,2844180
10026320,40,blue-collar,married,primary,yes,no,,14,november,78,0,1409580
10026321,31,management,married,tertiary,no,no,,29,december,298,0,0
10026322,41,blue-collar,married,secondary,yes,no,,19,january,429,0,-12240
10026323,60,technician,married,secondary,yes,no,,5,february,483,87561,475020
10026324,42,admin.,divorced,secondary,yes,no,,22,march,213,41189.4,193680
10026325,48,blue-collar,married,primary,yes,no,,7,april,51,65320.2,105120
10026326,43,blue-collar,married,secondary,yes,yes,,25,may,44,97232.4,487080
10026327,47,blue-collar,married,primary,yes,no,,28,june,164,51901.2,232920
10026328,40,self-employed,married,primary,yes,no,,28,july,166,24271.2,138780
10026329,55,unemployed,divorced,secondary,yes,yes,,11,august,220,19191.6,50940
10026330,51,management,divorced,tertiary,yes,no,,16,september,178,3783.6,86760
10026331,54,management,married,tertiary,no,no,,14,october,452,9156.6,1980
10026332,41,blue-collar,married,secondary,yes,no,,2,november,858,50756.4,508140
10026333,41,blue-collar,married,secondary,yes,no,,16,december,87,72124.2,60840
10026334,53,blue-collar,married,secondary,yes,no,,4,january,97,215872.2,1026000
10026335,46,admin.,married,secondary,yes,yes,,4,february,116,140601.6,545040
10026336,45,entrepreneur,married,primary,yes,no,,20,march,120,95774.4,435240
10026337,48,blue-collar,married,secondary,yes,no,,19,april,629,0,252900
10026338,44,services,single,secondary,yes,no,,28,may,198,0,0
10026339,47,blue-collar,married,secondary,no,no,,3,june,262,67660.2,499500
10026340,49,blue-collar,married,secondary,yes,yes,,16,july,179,52236,109980
10026341,41,blue-collar,married,primary,yes,no,,4,august,35,86900.4,297720
10026342,54,blue-collar,married,primary,yes,no,,10,september,156,44154,304380
10026343,48,technician,married,secondary,no,no,,27,october,201,32884.2,76860
10026344,30,blue-collar,married,secondary,yes,no,,17,november,159,39817.8,168840
10026345,45,blue-collar,married,primary,yes,no,,17,december,68,38435.4,112680
10026346,40,blue-collar,married,,no,no,,12,january,75,7525.8,157320
10026347,42,blue-collar,single,secondary,no,no,,3,february,229,21857.4,4320
10026348,48,technician,married,secondary,yes,no,,12,march,126,174807,1327140
10026349,40,admin.,married,secondary,yes,no,,2,april,704,2878.2,276300
10026350,47,blue-collar,married,primary,yes,yes,,4,may,164,2115,360
10026351,47,admin.,married,secondary,yes,yes,,10,june,339,19159.2,149220
10026352,33,blue-collar,single,secondary,yes,no,,17,july,461,27955.8,29520
10026353,54,blue-collar,married,secondary,yes,no,,20,august,188,90876.6,317700
10026354,46,blue-collar,married,secondary,yes,no,,9,september,546,42332.4,311940
10026355,53,retired,married,primary,yes,no,,23,october,171,28346.4,68940
10026356,25,technician,single,tertiary,yes,no,,5,november,351,0,139860
10026357,50,management,married,secondary,yes,no,,15,december,94,0,0
10026358,40,blue-collar,married,secondary,yes,yes,,6,january,168,135167.4,273960
10026359,53,management,married,tertiary,yes,no,,12,february,429,105260.4,800280
10026360,41,blue-collar,married,secondary,yes,no,,30,march,249,57115.8,166140
10026361,41,admin.,married,secondary,yes,no,,3,april,568,68817.6,235620
10026362,42,management,married,tertiary,yes,no,,16,may,299,106891.2,241200
10026363,47,management,married,tertiary,yes,no,,6,june,282,116654.4,568440
10026364,48,blue-collar,married,secondary,yes,no,,21,july,760,61824.6,287280
10026365,43,blue-collar,married,primary,yes,no,,22,august,211,235659.6,159660
10026366,55,management,married,tertiary,yes,no,,23,september,77,251469,4174020
10026367,40,admin.,married,secondary,yes,no,,25,october,283,25900.2,181800
10026368,45,blue-collar,married,primary,yes,no,,13,november,263,24692.4,44280
10026369,54,retired,married,secondary,yes,no,,1,december,189,59513.4,165240
10026370,46,blue-collar,married,primary,yes,no,,3,january,91,97007.4,257220
10026371,57,retired,divorced,primary,yes,no,,4,february,32,47871,439020
10026372,49,entrepreneur,married,secondary,yes,no,,18,march,139,19069.2,62640
10026373,49,admin.,married,secondary,yes,no,,23,april,347,4795.2,69660
10026374,41,blue-collar,single,primary,yes,no,,14,may,152,14706,3960
10026375,42,self-employed,married,primary,yes,no,,18,june,869,157863.6,655380
10026376,42,management,single,secondary,yes,no,,25,july,339,113374.8,456300
10026377,49,technician,married,primary,yes,no,,13,august,267,3900.6,338040
10026378,42,blue-collar,married,secondary,yes,no,,23,september,34,270,540
10026379,34,unemployed,single,secondary,yes,no,,4,october,153,3492,1620
10026380,47,blue-collar,married,primary,yes,no,,18,november,28,70182,90360
10026381,41,admin.,married,secondary,yes,no,,12,december,216,182512.8,654120
10026382,45,technician,married,secondary,yes,no,,2,january,215,78543,611100
10026383,33,admin.,single,secondary,yes,no,,1,february,199,33019.2,121140
10026384,53,blue-collar,married,primary,yes,no,,8,march,139,33627.6,108000
10026385,43,unemployed,single,primary,yes,no,,4,april,322,69186.6,125640
10026386,40,blue-collar,divorced,secondary,yes,no,,30,may,189,49480.2,457200
10026387,34,blue-collar,married,primary,yes,no,,27,june,197,27455.4,64260
10026388,40,technician,married,secondary,yes,no,,17,july,224,66540.6,140760
10026389,41,blue-collar,married,primary,yes,no,,30,august,160,0,377460
10026390,44,blue-collar,single,,yes,no,,6,september,143,0,-18180
10026391,57,admin.,divorced,primary,yes,yes,,2,october,191,0,113040
10026392,42,technician,married,secondary,yes,no,,22,november,833,0,0
10026393,57,services,married,secondary,yes,no,,4,december,356,17233.2,1237320
10026394,43,blue-collar,divorced,secondary,yes,no,,4,january,485,8546.4,2880
10026395,45,blue-collar,married,primary,yes,no,,30,february,57,83907,304380
10026396,60,retired,married,primary,yes,no,,5,march,930,66337.2,277560
10026397,41,blue-collar,married,,yes,no,,3,april,247,179715.6,190260
10026398,49,blue-collar,married,primary,yes,no,,26,may,208,0,2037060
10026399,42,admin.,married,secondary,no,no,,30,june,89,0,-234000
10026400,41,services,married,primary,yes,no,,4,july,72,12351.6,53820
10026401,33,technician,single,secondary,yes,no,,22,august,260,26843.4,34020
10026402,56,blue-collar,married,secondary,yes,no,,4,september,129,0,254160
10026403,49,blue-collar,married,primary,yes,no,,2,october,151,0,0
10026404,41,blue-collar,married,secondary,yes,no,,4,november,181,114654.6,42300
10026405,48,management,married,tertiary,yes,no,,24,december,125,241545.6,3729240
10026406,41,technician,married,secondary,yes,yes,,1,january,225,50063.4,187740
10026407,41,services,married,secondary,yes,no,,23,february,829,42958.8,160200
10026408,30,technician,single,secondary,no,yes,,4,march,749,35798.4,138240
10026409,52,entrepreneur,married,tertiary,yes,yes,,20,april,166,46807.2,111240
10026410,40,blue-collar,married,secondary,no,no,,16,may,87,118065.6,236340
10026411,60,retired,married,secondary,yes,no,,23,june,407,59547.6,707760
10026412,28,management,single,tertiary,yes,no,,27,july,438,8494.2,60120
10026413,44,self-employed,divorced,secondary,yes,yes,,30,august,387,0,14400
10026414,44,technician,single,secondary,yes,yes,,13,september,100,0,-4860
10026415,32,blue-collar,single,secondary,yes,no,,18,october,413,34506,411300
10026416,53,management,married,tertiary,no,no,,22,november,521,0,34740
10026417,41,services,divorced,secondary,no,yes,,30,december,133,0,-35640
10026418,57,retired,married,tertiary,yes,yes,,1,january,191,40111.2,212400
10026419,42,blue-collar,married,primary,yes,no,,21,february,521,97297.2,90900
10026420,31,management,married,secondary,yes,no,,23,march,109,67492.8,1249740
10026421,46,blue-collar,married,secondary,yes,yes,,9,april,345,48949.2,43740
10026422,40,technician,single,,yes,no,,9,may,1028,184573.8,657360
10026423,46,technician,divorced,secondary,yes,no,,6,june,566,155946.6,621900
10026424,55,self-employed,single,secondary,yes,no,,26,july,38,119359.8,469260
10026425,52,blue-collar,single,primary,yes,no,,23,august,314,0,364320
10026426,50,management,married,secondary,yes,no,,26,september,214,0,0
10026427,57,retired,married,secondary,no,no,,10,october,248,0,-39960
10026428,28,blue-collar,married,secondary,yes,no,,14,november,246,10503,222840
10026429,46,blue-collar,married,secondary,yes,no,,9,december,136,9439.2,5940
10026430,40,admin.,divorced,secondary,yes,no,,12,january,98,48772.8,180000
10026431,56,blue-collar,married,secondary,yes,no,,12,february,225,30961.8,158580
10026432,48,services,divorced,secondary,yes,no,,5,march,364,0,72540
10026433,36,management,single,tertiary,yes,no,,1,april,784,0,-6840
10026434,37,technician,married,tertiary,yes,no,,24,may,93,0,0
10026435,41,entrepreneur,married,tertiary,yes,no,,6,june,57,25723.8,39780
10026436,43,blue-collar,married,secondary,yes,no,,25,july,160,65115,199620
10026437,40,entrepreneur,married,secondary,yes,no,,4,august,210,31770,254880
10026438,40,entrepreneur,married,secondary,yes,no,,25,september,222,10026,47520
10026439,45,blue-collar,married,secondary,yes,yes,,7,october,21,27205.2,25380
10026440,44,blue-collar,married,secondary,yes,no,,8,november,222,60354,349920
10026441,53,entrepreneur,married,primary,yes,no,,26,december,157,23828.4,124920
10026442,31,management,married,tertiary,yes,no,,10,january,143,41320.8,54540
10026443,50,blue-collar,married,secondary,yes,no,,12,february,371,45599.4,375660
10026444,53,management,married,tertiary,yes,yes,,4,march,161,12861,66420
10026445,56,blue-collar,divorced,secondary,yes,no,,4,april,350,17938.8,29880
10026446,45,technician,married,primary,yes,no,,25,may,135,93846.6,129240
10026447,47,self-employed,married,tertiary,yes,no,,4,june,162,140659.2,817740
10026448,33,admin.,single,secondary,yes,no,,19,july,565,0,290340
10026449,57,technician,married,tertiary,no,no,,30,august,850,0,-180
10026450,45,entrepreneur,single,tertiary,yes,no,,8,september,44,46868.4,253800
10026451,34,blue-collar,married,secondary,no,no,,24,october,337,0,103860
10026452,49,entrepreneur,married,primary,yes,no,,30,november,416,0,-11340
10026453,49,services,married,secondary,no,no,,14,december,102,0,160560
10026454,37,admin.,divorced,secondary,yes,no,,22,january,5,0,-20340
10026455,57,technician,married,secondary,yes,no,,28,february,129,178885.8,583200
10026456,40,blue-collar,married,primary,yes,no,,29,march,977,187117.2,658440
10026457,57,retired,married,secondary,yes,no,,22,april,138,111204,638100
10026458,45,unemployed,married,primary,yes,no,,4,may,70,121732.2,232560
10026459,61,retired,married,secondary,yes,no,,23,june,71,42163.2,764640
10026460,54,management,divorced,secondary,yes,no,,1,july,75,14479.2,27900
10026461,46,blue-collar,married,primary,yes,no,,6,august,230,29835,90180
10026462,51,admin.,married,primary,yes,no,,23,september,369,81547.2,118440
10026463,42,blue-collar,married,secondary,yes,no,,1,october,136,57661.2,673740
10026464,42,blue-collar,married,primary,yes,no,,20,november,22,24989.4,59220
10026465,60,management,married,primary,yes,no,,17,december,378,121168.8,126540
10026466,41,blue-collar,married,primary,yes,no,,2,january,240,97480.8,1392300
10026467,41,services,married,primary,yes,no,,4,february,80,31951.8,81900
10026468,55,blue-collar,married,secondary,yes,no,,29,march,144,62787.6,149580
10026469,46,services,married,secondary,yes,no,,20,april,380,83791.8,316260
10026470,54,blue-collar,married,secondary,yes,no,,25,may,108,169385.4,266400
10026471,51,blue-collar,married,secondary,yes,no,,5,june,927,308395.8,1292400
10026472,47,services,divorced,secondary,yes,no,,10,july,389,88552.8,883080
10026473,35,management,single,tertiary,no,yes,,21,august,192,14302.8,106560
10026474,30,blue-collar,married,secondary,yes,no,,22,september,273,7435.8,23040
10026475,32,management,single,secondary,yes,no,,15,october,48,13802.4,28800
10026476,35,blue-collar,married,primary,yes,no,,3,november,8,103415.4,79380
10026477,48,blue-collar,single,secondary,yes,no,,17,december,628,90536.4,1616760
10026478,36,services,married,secondary,no,no,,2,january,90,99043.2,60840
10026479,53,services,married,secondary,yes,no,,14,february,221,136074.6,1934820
10026480,48,technician,married,secondary,yes,no,,28,march,217,35631,114840
10026481,42,services,married,secondary,yes,no,,14,april,762,123742.8,132660
10026482,38,services,single,secondary,yes,no,,6,may,193,43482.6,1385100
10026483,32,admin.,single,secondary,yes,no,,27,june,302,13665.6,16380
10026484,51,unemployed,married,secondary,yes,no,,28,july,411,37436.4,136800
10026485,34,blue-collar,married,secondary,yes,no,,5,august,245,49168.8,122940
10026486,43,blue-collar,married,secondary,yes,no,,29,september,746,46314,235980
10026487,50,blue-collar,married,secondary,yes,no,,15,october,673,0,109080
10026488,44,blue-collar,married,primary,yes,no,,4,november,220,0,0
10026489,25,services,single,secondary,yes,no,,18,december,232,19731.6,34560
10026490,60,blue-collar,married,secondary,yes,no,,2,january,115,146606.4,135180
10026491,32,technician,single,,no,no,,16,february,485,113106.6,1908000
10026492,44,admin.,married,secondary,yes,yes,,25,march,106,61128,80460
10026493,26,student,single,secondary,yes,no,,5,april,107,91337.4,557280
10026494,36,admin.,married,secondary,yes,no,,10,may,1044,28573.2,179640
10026495,29,entrepreneur,single,tertiary,yes,no,,13,june,180,39961.8,54540
10026496,29,management,single,tertiary,yes,no,,29,july,354,30020.4,351360
10026497,42,blue-collar,married,secondary,yes,no,,23,august,55,7318.8,30780
10026498,32,blue-collar,single,secondary,no,no,,9,september,392,15489,20880
10026499,37,admin.,married,secondary,yes,no,,5,october,123,0,137880
10026500,50,admin.,divorced,secondary,yes,no,,29,november,148,0,-90000
10026501,44,blue-collar,married,secondary,yes,no,,15,december,74,60494.4,363060
10026502,43,technician,married,secondary,yes,no,,7,january,267,28575,120960
10026503,41,services,married,primary,yes,no,,27,february,374,0,81000
10026504,45,admin.,married,secondary,yes,no,,9,march,295,0,-5580
10026505,41,admin.,married,tertiary,yes,no,,26,april,149,95994,976680
10026506,57,technician,married,secondary,yes,no,,25,may,226,68958,113220
10026507,34,self-employed,single,tertiary,yes,no,,24,june,668,108214.2,504000
10026508,47,services,married,secondary,yes,no,,7,july,95,159069.6,278820
10026509,49,technician,married,secondary,yes,no,,29,august,229,151549.2,1089000
10026510,58,blue-collar,married,primary,yes,no,,25,september,252,40167,253080
10026511,51,unemployed,married,secondary,yes,no,,13,october,286,0,76500
10026512,30,management,married,tertiary,yes,no,,14,november,242,0,-59040
10026513,47,services,divorced,secondary,yes,yes,,20,december,335,89575.2,77400
10026514,29,technician,single,secondary,no,no,,24,january,323,45511.2,1243980
10026515,51,blue-collar,married,primary,yes,no,,1,february,140,18630,19980
10026516,49,housemaid,single,primary,yes,no,,7,march,159,50725.8,208440
10026517,43,services,married,secondary,yes,no,,19,april,293,30184.2,148140
10026518,41,blue-collar,married,primary,yes,no,,9,may,85,33733.8,73800
10026519,29,admin.,single,secondary,yes,no,,18,june,343,59790.6,185040
10026520,42,blue-collar,married,primary,yes,no,,23,july,295,0,231840
10026521,34,blue-collar,single,secondary,yes,no,,10,august,360,0,-20700
10026522,44,management,married,tertiary,yes,yes,,7,september,183,55605.6,85320
10026523,44,services,divorced,secondary,yes,no,,6,october,304,38986.2,434880
10026524,30,management,married,tertiary,yes,no,,30,november,382,13201.2,41940
10026525,26,blue-collar,single,secondary,no,no,,15,december,514,14470.2,49860
10026526,28,technician,single,secondary,yes,no,,21,january,142,39902.4,50400
10026527,42,technician,married,tertiary,yes,yes,,27,february,162,121824,379080
10026528,40,housemaid,divorced,primary,yes,no,,26,march,301,48150,469800
10026529,49,retired,married,secondary,yes,no,,25,april,264,40109.4,59220
10026530,42,admin.,divorced,secondary,yes,no,,4,may,150,43500.6,325980
10026531,29,admin.,married,secondary,yes,yes,,1,june,49,82024.2,69660
10026532,47,blue-collar,married,primary,yes,no,,11,july,326,152231.4,1159020
10026533,42,management,married,,yes,no,,19,august,468,55764,239940
